;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;monto_del_credito;línea_credito;fecha_de_beneficio
0;MASCULINO;COMERCIO;FABRICA DE;PRADO;3;10.0;5000000;MICROEMPRESARIAL;2018-07-13
1;FEMENINO;SERVICIO;RECREATIVO EDUCATIVO;BARRIO CAICEDO;1;9.0;6000000;MICROEMPRESARIAL;2017-10-30
2;FEMENINO;COMERCIO;TIENDA;ARANJUEZ;2;4.0;7300000;MICROEMPRESARIAL;2017-08-03
3;MASCULINO;COMERCIO;VARIEDADES;CABECERA SAN CRISTOBAL;3;60.0;7000000;MICROEMPRESARIAL;2017-11-20
4;FEMENINO;COMERCIO;FABRICA DE;ROBLEDO;2;7.0;5000000;MICROEMPRESARIAL;2017-02-23
5;FEMENINO;COMERCIO;VARIEDADES;PICACHITO;1;6.0;7000000;MICROEMPRESARIAL;2017-05-31
6;FEMENINO;INDUSTRIA;FABRICA DE;GUAYABAL;3;15.0;2000000;MICROEMPRESARIAL;2016-02-20
7;FEMENINO;COMERCIO;TIENDA;CARPINELO;1;1.0;3300000;MICROEMPRESARIAL;2017-02-14
8;MASCULINO;COMERCIO;VARIEDADES;BELALCAZAR;2;5.0;7800000;MICROEMPRESARIAL;2018-05-07
9;FEMENINO;COMERCIO;VARIEDADES;MANRIQUE CENTRAL NO. 1;1;4.0;7800000;MICROEMPRESARIAL;2018-05-03
10;FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 2;2;3.0;4500000;MICROEMPRESARIAL;2017-02-28
11;MASCULINO;AGROPECUARIA;SEMBRADOS;SANTA ELENA CENTRAL;2;90.0;13000000;AGROPECUARIA;2016-12-23
12;FEMENINO;COMERCIO;COMIDAS RAPIDAS;ANDALUCIA;2;2.0;7800000;MICROEMPRESARIAL;2018-04-12
13;MASCULINO;INDUSTRIA;FABRICA DE;SAN JAVIER NO.1;1;13.0;4000000;MICROEMPRESARIAL;2018-08-23
14;MASCULINO;SERVICIO;VARIEDADES;BELENCITO;2;13.0;7800000;MICROEMPRESARIAL;2018-07-30
15;MASCULINO;COMERCIO;MISCELANEA;CENTRO ADMTIVO;3;10.0;1000000;MICROEMPRESARIAL;2018-02-14
16;FEMENINO;COMERCIO;VARIEDADES;CABECERA SAN ANTONIO ;2;80.0;7000000;MICROEMPRESARIAL;2017-11-16
17;FEMENINO;SERVICIO;CAFE E INTERNET;MANRIQUE CENTRAL NO. 1;3;4.0;8000000;MICROEMPRESARIAL;2019-04-29
18;MASCULINO;COMERCIO;TIENDA;VILLA HERMOSA;3;8.0;5000000;MICROEMPRESARIAL;2018-06-27
19;FEMENINO;COMERCIO;VENTA DE CALZADO;PLAYON DE LOS ;2;2.0;7000000;MICROEMPRESARIAL;2017-02-27
20;FEMENINO;COMERCIO;PRODUCTOS DE BELLEZA;BUENOS AIRES;3;9.0;7300000;MICROEMPRESARIAL;2017-07-24
21;MASCULINO;COMERCIO;TIENDA;MANRIQUE CENTRAL NO. 1;2;4.0;6000000;MICROEMPRESARIAL;2018-09-14
